jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,posicion,team_id,href,prob,lesion,sancion
Miguel Loureiro,-69980,3645119,3715099,3797903,Defensa,6,https://www.futbolfantasy.com/jugadores/miguel-loureiro,50%,-1,0
Charlie Patino,-4675,502825,507500,552030,Mediocampista,6,https://www.futbolfantasy.com/jugadores/charlie-patino,0%,-1,0
Mario Soriano,359429,26835811,26476382,24211070,Mediocampista,6,https://www.futbolfantasy.com/jugadores/mario-soriano,80%,-1,0
David Mella,37821,3425320,3387499,3170014,Mediocampista,6,https://www.futbolfantasy.com/jugadores/david-mella,30%,-1,0
Jose Angel Jurado,-24508,978812,1003320,1157287,Mediocampista,6,https://www.futbolfantasy.com/jugadores/jose-angel-jurado,0%,-1,0
Diego Villares,-48657,2442046,2490703,2732925,Mediocampista,6,https://www.futbolfantasy.com/jugadores/diego-villares,0%,-1,0
Riki Rodriguez,-24485,978275,1002760,1137858,Mediocampista,6,https://www.futbolfantasy.com/jugadores/riki-rodriguez,0%,-1,0
Ximo Navarro,3337,5559933,5556596,5495315,Defensa,6,https://www.futbolfantasy.com/jugadores/ximo-navarro,70%,-1,0
Dani Barcia,-25969,1277343,1303312,1453320,Defensa,6,https://www.futbolfantasy.com/jugadores/dani-barcia,20%,-1,0
Arnau Comas,-12683,695032,707715,807063,Defensa,6,https://www.futbolfantasy.com/jugadores/arnau-comas,20%,-1,0
Lucas Noubi,241675,12768825,12527150,11213925,Defensa,6,https://www.futbolfantasy.com/jugadores/lucas-noubi,80%,-1,0
Giacomo Quagliata,-56461,3188395,3244856,3280994,Defensa,6,https://www.futbolfantasy.com/jugadores/giacomo-quagliata,50%,-1,0
Zakaria Eddahchouri,-33246,1822654,1855900,2030798,Delantero,6,https://www.futbolfantasy.com/jugadores/zakaria-eddahchouri,30%,-1,0
German Parreño,-8120,585515,593635,650238,Portero,6,https://www.futbolfantasy.com/jugadores/german-parreño,0%,-1,0
