jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha
Urko Gonzalez De Zarate,-53.853,2.093.313,2.147.166,2.491.059,,2025-09-04
Federico Viñas,-54.905,2.534.228,2.589.133,3.039.908,,2025-09-04
Donny Van De Beek,-55.073,1.688.909,1.743.982,2.124.746,,2025-09-04
Alvaro Fernandez,-55.097,1.686.545,1.741.642,0,,2025-09-04
Takuma Asano,-55.470,1.763.416,1.818.886,2.176.012,,2025-09-04
Jose Manuel Copete,-56.046,3.715.350,3.771.396,3.677.403,Enric,2025-09-04
Beñat Turrientes,-57.350,2.195.367,2.252.717,2.600.264,,2025-09-04
Dani Ceballos,-58.618,2.413.762,2.472.380,2.800.865,,2025-09-04
Adria Altimira,-59.343,1.786.643,1.845.986,2.242.912,,2025-09-04
Unai Lopez,-61.022,3.109.752,3.170.774,3.042.263,,2025-09-04
Sergio Camello,-63.936,2.154.264,2.218.200,2.616.116,,2025-09-04
Chimy Avila,-64.452,2.189.996,2.254.448,2.671.763,,2025-09-04
Jon Guridi,-65.785,2.904.920,2.970.705,3.311.574,,2025-09-04
Gerard Martin,-66.439,6.195.635,6.262.074,0,,2025-09-04
Marc Roca,-67.216,2.242.454,2.309.670,2.735.654,,2025-09-04
Ivan Balliu,-67.568,2.044.882,2.112.450,2.558.667,,2025-09-04
Arsen Zakharyan,-67.761,2.072.122,2.139.883,2.596.760,,2025-09-04
Nahuel Molina,-68.143,2.334.095,2.402.238,2.782.022,,2025-09-04
Kervin Arriaga,-68.434,2.099.724,2.168.158,0,,2025-09-04
Andriy Lunin,-69.191,2.358.078,2.427.269,2.865.424,,2025-09-04
Christian Stuani,-70.209,2.241.986,2.312.195,2.724.126,,2025-09-04
Iñigo Lekue,-70.935,2.133.346,2.204.281,2.682.797,,2025-09-04
Arnau Martinez,-71.043,2.153.521,2.224.564,2.687.645,,2025-09-04
Charles Pickel,-71.638,2.202.978,2.274.616,0,,2025-09-04
Javi Muñoz,-72.629,2.554.910,2.627.539,0,,2025-09-04
Pablo Marin,-74.064,3.463.868,3.537.932,4.052.767,,2025-09-04
Thomas Lemar,-74.650,3.498.097,3.572.747,4.053.421,,2025-09-04
Borja Mayoral,-74.818,4.312.312,4.387.130,5.102.710,,2025-09-04
Pablo Ibañez,-74.974,2.764.892,2.839.866,3.342.931,,2025-09-04
Josip Brekalo,-75.521,2.313.553,2.389.074,2.877.696,,2025-09-04
Sheraldo Becker,-76.430,3.446.626,3.523.056,4.221.879,,2025-09-04
Yvan Neyou,-76.569,4.442.799,4.519.368,0,,2025-09-04
Lucas Boye,-76.769,2.923.309,3.000.078,0,,2025-09-04
Pablo Maffeo,-77.518,2.490.923,2.568.441,3.085.629,,2025-09-04
Oscar Trejo,-77.591,2.377.250,2.454.841,2.951.233,,2025-09-04
Djibril Sow,-78.446,2.402.277,2.480.723,2.975.013,,2025-09-04
Luiz Felipe,-79.124,5.188.684,5.267.808,5.773.010,,2025-09-04
Arnau Tenas,-79.767,3.592.742,3.672.509,0,,2025-09-04
Federico Redondo,-80.208,2.683.483,2.763.691,3.286.303,,2025-09-04
Ramon Terrats,-80.479,3.031.113,3.111.592,3.589.449,Adri,2025-09-04
Alan Matturro,-81.580,2.441.559,2.523.139,0,,2025-09-04
Alfonso Pedraza,-81.888,2.501.870,2.583.758,3.116.643,,2025-09-04
Clement Lenglet,-84.108,3.990.669,4.074.777,4.540.426,,2025-09-04
Maroan Sannadi,-84.940,6.209.985,6.294.925,5.870.774,,2025-09-04
David Alaba,-87.381,2.911.602,2.998.983,3.554.139,,2025-09-04
Fran Beltran,-87.545,2.989.224,3.076.769,3.558.836,,2025-09-04
Endrick,-88.102,3.026.679,3.114.781,3.718.859,,2025-09-04
Marc Casado,-89.675,3.614.448,3.704.123,4.196.777,,2025-09-04
Alex Sancris,-89.877,2.747.865,2.837.742,0,,2025-09-04
Goduine Koyalipou,-92.039,2.800.055,2.892.094,0,,2025-09-04
Javi Galan,-92.629,2.937.864,3.030.493,3.587.258,,2025-09-04
Andoni Gorosabel,-95.409,2.991.004,3.086.413,3.707.004,,2025-09-04
Stole Dimitrievski,-95.489,3.009.548,3.105.037,3.716.916,,2025-09-04
Cucho Hernandez,-95.521,9.538.481,9.634.002,9.707.346,,2025-09-04
Marc Pubill,-95.926,3.030.129,3.126.055,3.751.279,,2025-09-04
Thierry Correia,-96.910,2.949.266,3.046.176,3.704.558,,2025-09-04
Carl Starfelt,-97.107,3.012.609,3.109.716,3.778.324,,2025-09-04
Robert Navarro,-97.512,4.160.259,4.257.771,4.814.940,,2025-09-04
Abde Ezzalzouli,-97.673,3.318.278,3.415.951,4.060.831,,2025-09-04
Adnan Januzaj,-98.577,2.946.054,3.044.631,3.716.690,,2025-09-04
Mariano Diaz,-100.523,3.391.770,3.492.293,4.067.716,,2025-09-04
Diego Javier Llorente,-100.994,3.858.396,3.959.390,4.705.375,,2025-09-04
Diego Conde,-102.645,3.201.578,3.304.223,3.954.034,,2025-09-04
Andre Silva,-103.665,3.707.435,3.811.100,4.417.970,,2025-09-04
Largie Ramazani,-103.950,8.413.465,8.517.415,0,,2025-09-04
Andreas Christensen,-106.473,5.624.074,5.730.547,6.530.814,,2025-09-04
Batista Mendy,-107.151,4.202.013,4.309.164,0,,2025-09-04
Santi Cazorla,-108.093,3.699.673,3.807.766,4.486.851,,2025-09-04
Martin Valjent,-109.279,6.875.212,6.984.491,7.328.744,,2025-09-04
Jose Luis Morales,-109.329,4.798.179,4.907.508,5.263.292,,2025-09-04
Aitor Ruibal,-109.430,4.492.056,4.601.486,4.457.013,,2025-09-04
Manu Sanchez,-112.314,3.807.106,3.919.420,4.461.800,,2025-09-04
Kike Garcia,-112.862,4.584.344,4.697.206,5.514.443,,2025-09-04
Tani Oluwaseyi,-113.471,4.372.958,4.486.429,0,,2025-09-04
Jon Aramburu,-115.668,5.878.270,5.993.938,6.495.558,,2025-09-04
Nelson Deossa,-115.769,4.259.110,4.374.879,5.183.033,,2025-09-04
Pau Lopez,-115.907,6.745.797,6.861.704,7.520.853,,2025-09-04
Andre Almeida,-116.134,3.509.251,3.625.385,4.377.398,,2025-09-04
Jon Martin,-117.120,3.562.445,3.679.565,4.391.701,,2025-09-04
Dani Rodriguez,-117.984,3.633.327,3.751.311,4.443.533,,2025-09-04
Clemens Riedel,-118.827,3.748.457,3.867.284,0,,2025-09-04
Alvaro Valles,-120.537,12.146.493,12.267.030,12.545.664,,2025-09-04
Duje Caleta-Car,-120.848,5.483.663,5.604.511,6.549.931,,2025-09-04
